"YEAR","MFR","MODEL","TYPE","HP","CYLINDERS","TRANSMISSION","NUM_GEARS","DRIVETRAIN","CURBWEIGHT","AXELRATIO","NVRATIO","SIL","THC","CO","CO2","NOx","MPG","AFTERTREATMENT_DEVICE"
2011,"BMW","X5 xDrive35d","Truck",265,6,"Automatic",6,"All Wheel Drive",5500,3.64,30,"Not eqipped",0.0153888,0.0353381,281.7194906,0.0105204,36.1,"Selective Catalytic Reduction"
2011,"BMW","328CiA Convertible","Car",230,6,"Semi-Automatic",6,"2-Wheel Drive, Rear",4250,3.91,36.6,"Not eqipped",0,0.0354,239.2,0,37.3,"Three-way catalyst"
2011,"BMW","328i","Both",230,6,"Automatic",6,"2-Wheel Drive, Rear",3750,3.73,34.8,"Not eqipped",0.00045,0.0365,227.37,0.0025,39.2,"Three-way catalyst"
2011,"BMW","535i","Car",300,6,"Semi-Automatic",8,"2-Wheel Drive, Rear",4500,3.08,20.7,"Not eqipped",0.0074,0.0369,214.03,0.0012,41.6,"Three-way catalyst"
2011,"BMW","M3 Convertible","Car",414,8,"Manual",7,"2-Wheel Drive, Rear",4500,3.15,25.2,"Not eqipped",0.00057,0.0385,335.31,0.0039,26.5,"Three-way catalyst"
2011,"BMW","M3","Car",414,8,"Manual",7,"2-Wheel Drive, Rear",4000,3.15,25.2,"Not eqipped",0.00101,0.0442,328.38,0.0041,27.1,"Three-way catalyst"
2011,"BMW","740Li","Car",315,6,"Semi-Automatic",6,"2-Wheel Drive, Rear",4750,3.46,29.9,"Not eqipped",0.00334,0.0457,254.84,0.003,34.9,"Three-way catalyst"
2011,"BMW","535i Gran Turismo","Car",300,6,"Semi-Automatic",8,"2-Wheel Drive, Rear",4750,3.08,25.7,"Not eqipped",0.00065,0.0508,217.48,0.0019,40.9,"Three-way catalyst"
2011,"BMW","Mini Cooper","Car",122,4,"Automatic",6,"2-Wheel Drive, Front",2875,4.1,40.7,"Not eqipped",0.00665,0.0602,168.74,0.0009,52.5,"Three-way catalyst"
2011,"BMW","Mini Cooper S Clubman","Car",180,4,"Automatic",6,"2-Wheel Drive, Front",3125,3.68,35.3,"Not eqipped",0.00324,0.061,191.74,0.0033,46.3,"Three-way catalyst"
2011,"BMW","328i","Both",230,6,"Automatic",6,"All Wheel Drive",4000,3.91,37.6,"Not eqipped",0.0019899,0.0722139,256.68,0.0028456,34.7,"Three-way catalyst"
2011,"BMW","M3","Car",414,8,"Manual",6,"2-Wheel Drive, Rear",4000,3.85,27.4,"Not eqipped",0.00245,0.0745,311.79,0.0034,28.4,"Three-way catalyst"
2011,"BMW","Mini Cooper Convertible","Car",122,4,"Automatic",6,"2-Wheel Drive, Front",3125,4.1,40.7,"Not eqipped",0.01022,0.0766,175.3,0.001,50.7,"Three-way catalyst"
2011,"BMW","Mini Cooper S","Car",180,4,"Manual",6,"2-Wheel Drive, Front",3000,3.71,43.1,"Not eqipped",0.00742,0.0804,180.27,0.0029,49.3,"Three-way catalyst"
2011,"BMW","535iA","Car",300,6,"Semi-Automatic",8,"2-Wheel Drive, Rear",4500,3.08,26.7,"Not eqipped",0.00753,0.0812,207.86,0.0016,42.7,"Three-way catalyst"
2011,"BMW","Mini Clubman","Car",122,4,"Automatic",6,"2-Wheel Drive, Front",3125,4.1,40.7,"Not eqipped",0.00725,0.0813,171.58,0.0013,51.6,"Three-way catalyst"
2011,"BMW","760Li","Car",535,12,"Automatic",8,"2-Wheel Drive, Rear",5250,2.81,23.4,"Not eqipped",0.0001299,0.0822936,341.2947673,0.0027922,26.1,"Three-way catalyst"
2011,"BMW","128i","Car",230,,"Semi-Automatic",6,"2-Wheel Drive, Rear",3625,3.73,34.7,"Not eqipped",0.0027404,0.0828431,237.49,0.0001098,37.6,
2011,"BMW","760Li","Car",535,12,"Automatic",8,"2-Wheel Drive, Rear",5250,2.81,23.4,"Not eqipped",0.00182,0.0851,320.5,0.0044,27.6,"Three-way catalyst"
2011,"BMW","760Li","Car",535,12,"Automatic",8,"2-Wheel Drive, Rear",5250,2.81,23.4,"Not eqipped",0.000401,0.0877311,342.4319391,0.0050616,26,"Three-way catalyst"
2011,"BMW","Z4 sDrive35i","Car",300,6,"Manual",6,"2-Wheel Drive, Rear",3750,3.08,37.2,"Not eqipped",0.00378,0.0893,243.23,0.0054,36.6,"Three-way catalyst"
